"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2022 UX1)","2022-Oct-11 08:51 ± < 00:01","1135188","1125921","8.56","8.52","28.0","6.7 m -   15 m","0"
"(2022 UE61)","2022-Oct-12 01:44 ± 1_00:18","1839105","894726","7.97","7.94","28.0","6.6 m -   15 m","0"
"(2022 RA5)","2022-Oct-12 10:57 ± < 00:01","5016650","5005361","5.09","5.07","24.9","28 m -   62 m","0"
"(2022 UJ8)","2022-Oct-12 11:44 ±    00:01","6313069","6209309","10.12","10.12","25.4","22 m -   50 m","0"
"(2022 UP)","2022-Oct-12 14:24 ± < 00:01","6703181","6652651","16.31","16.31","23.6","51 m -  110 m","0"
"(2022 TY3)","2022-Oct-12 19:26 ±    00:19","166993","166211","26.86","26.78","26.7","12 m -   27 m","1"
"(2022 UJ3)","2022-Oct-12 22:10 ±    00:10","3203990","3151053","11.44","11.43","26.6","12 m -   28 m","0"
"(2022 TE1)","2022-Oct-13 01:29 ±    00:10","788827","774020","11.08","11.04","27.1","10 m -   22 m","0"
"(2022 TW2)","2022-Oct-13 02:53 ± < 00:01","269223","269011","4.30","3.94","28.6","5.2 m -   12 m","0"
"(2022 UV1)","2022-Oct-13 03:10 ±    00:02","2991871","2964219","19.78","19.77","24.9","28 m -   63 m","0"
"(2022 TQ2)","2022-Oct-13 05:08 ± < 00:01","168948","168740","12.58","12.39","27.0","11 m -   24 m","1"
"(2022 SG6)","2022-Oct-13 06:00 ± < 00:01","5998207","5993261","10.90","10.89","22.9","68 m -  150 m","0"
"(2022 UN1)","2022-Oct-13 12:54 ± < 00:01","783074","776815","15.99","15.95","27.4","8.8 m -   20 m","0"
"(2022 UE3)","2022-Oct-13 15:37 ± < 00:01","4632213","4631086","9.60","9.59","24.6","32 m -   71 m","0"
"(2022 UY3)","2022-Oct-13 21:36 ±    00:03","1085960","1083771","7.99","7.94","26.9","11 m -   25 m","0"
"(2013 SL20)","2022-Oct-14 00:04 ± < 00:01","2415851","2415821","12.19","12.17","24.6","32 m -   71 m","0"
"(2022 UM1)","2022-Oct-14 02:06 ± < 00:01","775685","773689","8.21","8.15","27.2","9.6 m -   21 m","0"
"(2022 UG6)","2022-Oct-14 05:13 ±    00:03","635197","627578","14.30","14.26","27.9","6.9 m -   15 m","0"
"(2022 UR40)","2022-Oct-14 06:01 ± < 00:01","7200654","7193652","11.92","11.91","24.4","35 m -   77 m","0"
"(2022 TK1)","2022-Oct-14 14:47 ±    00:29","3811594","3763408","13.02","13.02","26.6","13 m -   28 m","0"
"(2022 UT63)","2022-Oct-14 20:38 ±    00:59","2679322","2619896","21.15","21.14","25.0","26 m -   59 m","0"
"(2022 UQ)","2022-Oct-14 20:54 ± < 00:01","5026117","4977303","10.70","10.70","26.5","13 m -   29 m","0"
